system_id,label,family,weights,role,n_pages,n_failed,char_accuracy,word_accuracy,fidelity,integrity,efficiency,cer_page,cer_page_lo,cer_page_hi,wer_page,wer_page_lo,wer_page_hi,glyph_f1,punct_kept,caps_kept,numeral_f1,line_recall,real_word_share,judge_misleading,efficiency_speed,efficiency_hardware,efficiency_price,s_per_page,hardware_class,price_usd_per_page,price_basis,wh_per_page,wh_basis
gemini-3.5-flash,Gemini 3.5 Flash,vlm_api,closed,lineup,86,0,0.8193566267038923,0.6248200205690778,0.6927331118997108,0.7887301639308454,0.5599581395356401,0.18064337329610775,0.14068001196652893,0.2276853998204804,0.3751799794309222,0.319379925774357,0.436032654472162,0.34986595174262736,0.766027397260274,0.9623059866962306,0.8093443858327053,0.963254593175853,0.6869158878504673,0.2318840579710145,0.7021684357096922,0.1,0.7354956867231758,3.9415145000093617,api,0.006216027681688541,list price,,not measured
gemini-3.5-flash-think,Gemini 3.5 Flash (thinking low),vlm_api,closed,field,29,0,0.7269946083479736,0.5696981731532963,0.6064424922042813,0.7484276729559749,0.3631463137915306,0.2730053916520264,0.19646296377618405,0.354009244513429,0.4303018268467037,0.3531036455035098,0.5126159452302667,0.22580645161290322,0.620166793025019,0.9733542319749217,0.7484276729559749,0.8111814345991561,0.7030033370411568,,0.44490718923460426,0.1,0.462770876696914,12.888002793067775,api,0.04089661564339781,list price,,not measured
gemini-3.8-flash,Gemini 3.8 Flash,vlm_api,closed,field,86,6,0.7499486779438331,0.5609187521426122,0.6753659876268149,0.7596899224806201,0.39053699344351356,0.25005132205616687,0.18641351400751285,0.3156059663683848,0.4390812478573877,0.3693008999447358,0.5056157781209212,0.3928365106874639,0.6794520547945205,0.9538093973984603,0.7596899224806201,0.889763779527559,0.6137226277372263,,0.30166042237043544,0.1,0.8588271290331834,24.927524700033246,api,0.0026516647350566815,list price,,not measured
gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,vlm_api,closed,field,86,0,0.7051239940876991,0.43092218032224894,0.6121135262771308,0.7143933685003768,0.6392204670918877,0.2948760059123009,0.250986338011244,0.34264881879489084,0.5690778196777511,0.5115830501478323,0.6267403421471219,0.2325015216068168,0.6597260273972603,0.9441130298273155,0.7143933685003768,0.9272590926134233,0.5914593140551446,,0.7509892223416267,0.1,0.9549034236842976,3.147904550016392,api,0.0013654937885965825,list price,,not measured
gemini-3.1-pro,Gemini 3.1 Pro,vlm_api,closed,field,29,0,0.8811716241594475,0.7168387609213662,0.5901872955146489,0.8645533141210374,0.4509095430965285,0.11882837584055249,0.07894025396034163,0.1640032952912493,0.28316123907863383,0.21631431549469105,0.35775095971170096,0.029962546816479405,0.7657316148597423,0.9748677248677249,0.8645533141210374,0.9525316455696202,0.6448152562574494,,0.4933843558587988,0.1,0.7168694606685163,10.309350099996664,api,0.007069547518923463,list price,,not measured
claude-sonnet-5,Claude Sonnet 5,vlm_api,closed,lineup,86,0,0.6624035145344063,0.3882070620500514,0.573898240134049,0.5732012195121952,0.38882562571487045,0.3375964854655937,0.2934863408566774,0.38113438438409025,0.6117929379499486,0.5557221416931184,0.666337592201921,0.15665091154625255,0.6452054794520548,0.9198383294038397,0.6814024390243903,0.8878890138732658,0.6361589190928101,0.535,0.424430115870287,0.1,0.6064422711189077,14.1624949580468,api,0.01515909192877058,list price,,not measured
claude-opus-5,Claude Opus 5,vlm_api,closed,field,29,0,0.8137456836493608,0.6290706910246227,0.6801758543083684,0.7293127629733521,0.30036784832411695,0.18625431635063913,0.13829180333425703,0.23601439020398257,0.3709293089753773,0.300679473413079,0.4442163073610703,0.3454545454545454,0.7278241091736164,0.9672489082969432,0.7293127629733521,0.9187763713080169,0.6934931506849316,,0.32805892803942327,0.1,0.44535353721762116,22.07405620010104,api,0.04612531959629941,list price,,not measured
transkribus-german-genius,Transkribus German Genius,transkribus,closed,lineup,86,0,0.8203420101822959,0.5805965032567706,0.5588529014726044,0.7673423666594688,0.31317195977136664,0.17965798981770406,0.1366701229140837,0.2279209529382137,0.41940349674322935,0.36982858718117706,0.4686668915425679,0.07603305785123966,0.6501369863013698,0.9503886602652035,0.7505938242280286,0.9636295463067117,0.5679680820746651,0.2159090909090909,0.47801070496664355,0.1,0.19666642915217947,11.065692307692307,transkribus,0.25704,credits,,not measured
transkribus-text-titan-ii,Transkribus Text Titan II,transkribus,closed,lineup,86,0,0.7803621284283133,0.5080562221460405,0.5146673301945593,0.6923299891155175,0.28163833619694795,0.21963787157168665,0.178431894032169,0.2660557996832098,0.49194377785395954,0.44231521073468855,0.5426995685910905,0.013686911890504704,0.5742465753424657,0.9560685033507074,0.6934835076427996,0.948631421072366,0.603309481216458,0.3088235294117647,0.41494345781780617,0.1,0.19666642915217947,14.794935779816512,transkribus,0.25704,credits,,not measured
trocr-kurrent-xvi-xvii,TrOCR Kurrent XVI–XVII,specialised_line,open,lineup,86,0,0.6725447528329775,0.2100102845389098,0.46541651387827504,0.587378695554051,0.7938906215674828,0.3274552471670225,0.2788709897847685,0.3776337170469447,0.7899897154610902,0.7473169273595589,0.8288028798336393,0.07213114754098361,0.47863013698630136,0.8454882571075402,0.4676145339652448,0.9340082489688789,0.4409946421211705,0.29285714285714287,0.6877812431349657,0.8,1.0,4.211506872532782,gpu_8gb,7.556280871236188e-05,electricity,0.18411990426988759,measured (GPU board power)
kraken-kurrent-xix,Kraken 19th-c. Kurrent,specialised_line,open,lineup,86,0,0.5466414846444407,0.12423723003085363,0.5215946802032057,0.5028312939338714,0.9684337881368217,0.4533585153555592,0.41589348998886183,0.4901387519763812,0.8757627699691464,0.8522533636479799,0.8974887459804869,0.2426367461430575,0.41726027397260274,0.9048870204939569,0.22305389221556887,0.8492688413948256,0.4022085368443406,0.21739130434782608,0.9368675762736434,1.0,1.0,1.337410866253364,cpu,6.60223751824744e-06,electricity,0.016087323387542495,estimated (35 W x seconds)
olmocr-2-7b,olmOCR-2 7B,vlm_open_local,open,lineup,86,2,0.398033338807686,0.164278368186493,0.4319573213086006,0.49636414310327354,0.594145217457859,0.601966661192314,0.5398335622639034,0.6697842626493139,0.835721631813507,0.7967649774200016,0.8723238834807571,0.0,0.37068493150684934,0.9251870324189526,0.5506993006993007,0.5376827896512936,0.683319397993311,0.5579710144927537,0.43829043491571806,0.5,1.0,13.286761217499816,gpu_24gb,0.00044308451944208657,electricity,1.0796406419154156,measured (GPU board power)
paddleocr-vl-1.6,PaddleOCR-VL 1.6,vlm_open_local,open,lineup,86,1,0.3384792248316637,0.06472403153925266,0.4289787440678035,0.5832094594594595,0.6739014258352175,0.6615207751683363,0.6164134086273905,0.7130905056774219,0.9352759684607473,0.9204007623865393,0.9491533343907336,0.0,0.39506849315068493,0.8918677390527256,0.35641891891891897,0.5564304461942258,0.4570378312145811,0.19,0.447802851670435,0.8,1.0,12.717281852999996,gpu_8gb,0.00038313708321249525,electricity,0.933569890868653,measured (GPU board power)
churro-3b,CHURRO 3B,vlm_open_local,open,field,18,0,0.5499065788179762,0.33260256811775757,0.5994535054137097,0.6497175141242938,0.45197484774265545,0.4500934211820238,0.34011720607415397,0.5815794427321366,0.6673974318822424,0.586994904108123,0.7487800303122071,0.25903614457831325,0.5727590221187427,0.9665653495440729,0.6497175141242938,0.7386138613861386,0.6290748898678414,,0.003949695485310878,0.8,1.0,98.1975401929839,gpu_8gb,0.0007758333783438255,electricity,1.8904322084401204,measured (GPU board power)
qwen3-vl-4b,Qwen3-VL 4B,vlm_open_local,open,field,86,1,0.10910042699950728,0.03339046966061021,0.38295521258570425,0.27226202661207777,0.42781216676469525,0.8908995730004927,0.8457075792328909,0.9336847947521496,0.9666095303393898,0.9489185980186016,0.983341501067881,0.020440251572327046,0.1989041095890411,0.9295212765957447,0.27226202661207777,0.2879640044994376,0.536366770079283,,0.10562433352939049,0.5,1.0,61.4824737365002,gpu_24gb,0.0008342342249250988,electricity,2.032734466191761,measured (GPU board power)
qwen3-vl-8b,Qwen3-VL 8B,vlm_open_local,open,field,86,1,0.23739530300541956,0.1022283167637984,0.45404433099551494,0.3751111111111111,0.466437647630825,0.7626046969945804,0.6969353484037264,0.8235415422671862,0.8977716832362016,0.8617073504549954,0.9334706252486159,0.07129455909943715,0.33835616438356164,0.9524822695035461,0.3751111111111111,0.4799400074990626,0.6191198786039454,,0.18287529526165003,0.5,1.0,43.07739271390769,gpu_24gb,0.0008561094294398796,electricity,2.0860366214422013,measured (GPU board power)
